"year","month","day","start.hour","start.minute","latitude","longitude","gear.str","species","french.name","english.name","latin.name","weight.caught","number.caught"
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",43,"Plie rouge","WINTER FLOUNDER","PSEUDOPLEURONECTES AMERICANUS",0.016,0.355555555555556
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",122,"Tanche-tautogue","CUNNER","TAUTOGOLABRUS ADSPERSUS",0.00711111111111111,0.888888888888889
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",301,"Chaboisseau à épines courtes","SHORTHORN SCULPIN","MYOXOCEPHALUS SCORPIUS",0.0213333333333333,3.73333333333333
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",2513,"Crabe tourteau commun","ATLANTIC ROCK CRAB","CANCER IRRORATUS",0.08,2.66666666666667
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",2561,"Bernards l'hermite droitiers","PAGURUS SP.","PAGURUS SP.",0,0.533333333333333
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",3130,NA,"NEREIS SP.","NEREIS SP.",0,0.177777777777778
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",4316,"Astartes","ASTARTE SP.","ASTARTE SP.",0.0177777777777778,1.77777777777778
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",6110,"Étoile de mer non spécifiée","ASTERIAS SP.","ASTERIAS SP.",0.186666666666667,14.7555555555556
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",6119,"Petite étoile rouge sang","BLOOD STAR","HENRICIA SANGUINOLENTA",0,4.08888888888889
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",6511,"Dollar de mer","ECHINARACHNIUS PARMA","ECHINARACHNIUS PARMA",0.145777777777778,14.5777777777778
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",8300,"Anémone de mer non spécifiée","SEA ANEMONE","ANTHOZOA C.",0,0.177777777777778
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",8600,"Éponge  non spécifiée","SPONGES","PORIFERA P.",0.471111111111111,0
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",9991,NA,"FIRST UNIDENTIFIED PER SET","UNIDENTIFIED",0,0.355555555555556
2012,6,27,13,57,46.2490833333333,-64.33125,"8 gang toothed scallop drag lined with 14 mm mesh",9992,NA,"SECOND UNIDENTIFIED PER SET","UNIDENTIFIED",0.609777777777778,0
2012,6,28,7,59,46.3359166666667,-64.3255,"8 gang toothed scallop drag lined with 14 mm mesh",43,"Plie rouge","WINTER FLOUNDER","PSEUDOPLEURONECTES AMERICANUS",0,0.571428571428571
2012,6,28,7,59,46.3359166666667,-64.3255,"8 gang toothed scallop drag lined with 14 mm mesh",122,"Tanche-tautogue","CUNNER","TAUTOGOLABRUS ADSPERSUS",0.0571428571428571,1.14285714285714
2012,6,28,7,59,46.3359166666667,-64.3255,"8 gang toothed scallop drag lined with 14 mm mesh",143,"Turbot de sable","BRILL/WINDOWPANE","SCOPHTHALMUS AQUOSUS",0,1.71428571428571
2012,6,28,7,59,46.3359166666667,-64.3255,"8 gang toothed scallop drag lined with 14 mm mesh",202,"Raie lisse","SMOOTH SKATE","MALACORAJA SENTA",0.24,0.571428571428571
