year__année,month__mois,day__jour,river_name__nom_de_la_rivière,site_code__numéro_du_site,english_name__nom_anglais,french_name__nom_français,scientific_name__nom_scientifique,status__statut,life_stage__stade_de_vie,adipose_condition__état_de_nageoire_adipeuse,total_length__longueur_totale,fork_length__longueur à la fourche,weight__poids,reproductive_status__stade_de_la_reproduction,sex__sexe,scale_id_number__numéro_id_écaille,ager_id__id_de_l'analyste,SMART_river_age__âge_en_rivière,SMART_river_age_type__type_âge_en_rivière,notes,sweep_number__numéro_de_balayage,sweep_time__temps_de_balayage,full_wetted_area__surface_mouillée_totale,sample_id__numéro_d_identification_de_l_échantillon
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,47.0,1.36,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257142
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,49.0,1.42,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257143
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,50.0,1.7,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257144
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,44.0,1.21,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257145
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,49.0,1.37,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257146
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,46.0,1.3,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257147
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,51.0,1.6,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257148
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,48.0,1.26,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257149
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,50.0,1.29,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257150
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,45.0,0.99,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257151
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,47.0,1.4,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257152
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,50.0,1.33,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257153
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,50.0,1.7,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257154
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,52.0,1.47,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257155
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,46.0,1.15,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257156
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,47.0,1.51,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257157
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,47.0,1.1,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257158
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,55.0,1.88,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257159
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,49.0,1.42,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257160
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,49.0,1.73,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257161
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,48.0,1.2,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257162
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,53.0,1.77,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257163
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,46.0,1.05,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257164
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,49.0,1.55,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257165
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,46.0,1.52,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257166
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,49.0,1.53,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257167
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,50.0,1.62,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257168
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,49.0,1.77,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257169
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,48.0,1.33,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257170
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,45.0,1.34,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257171
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,47.0,1.11,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257172
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,51.0,1.7,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257173
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,48.0,1.38,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257174
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,49.0,1.25,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257175
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,48.0,1.28,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257176
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,52.0,1.69,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257177
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,28.0,1.46,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257178
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,49.0,1.54,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257179
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,47.0,1.33,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257180
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,52.0,1.65,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257181
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,53.0,1.86,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257182
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,55.0,1.82,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257183
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,54.0,1.78,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257184
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,52.0,1.65,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257185
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,50.0,1.67,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257186
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,52.0,1.89,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257187
2021,9,13,West River Antigonish,EFWR3,Atlantic salmon,saumon atlantique,Salmo salar,RS,fry,Not checked,,55.0,2.05,,Not checked,,,0,"length-frequency, auto",,0.5,469,70.412,257188
